[2018-10-18 00:21:16,971][INFO] Training started on cuda:0
[2018-10-18 01:21:42,592][INFO] ------------------------------
[2018-10-18 01:24:12,971][INFO] [24/200] Train loss: 229.894364 
[2018-10-18 01:24:14,231][INFO] [24/200] Validation loss: 241.871733 
[2018-10-18 01:24:14,268][INFO] [24/200] Time: 151.674458 s
[2018-10-18 01:24:14,269][INFO] ------------------------------
[2018-10-18 01:27:03,006][INFO] [25/200] Train loss: 276.581990 
[2018-10-18 01:27:04,343][INFO] [25/200] Validation loss: 291.009705 
[2018-10-18 01:27:04,346][INFO] [25/200] Time: 170.075656 s
[2018-10-18 01:27:04,347][INFO] ------------------------------
[2018-10-18 01:29:41,251][INFO] [26/200] Train loss: 320.766793 
[2018-10-18 01:29:42,500][INFO] [26/200] Validation loss: 335.428585 
[2018-10-18 01:29:42,503][INFO] [26/200] Time: 158.154967 s
[2018-10-18 01:29:42,504][INFO] ------------------------------
[2018-10-18 01:32:18,836][INFO] [27/200] Train loss: 329.103289 
[2018-10-18 01:32:20,066][INFO] [27/200] Validation loss: 346.265406 
[2018-10-18 01:32:20,069][INFO] [27/200] Time: 157.564257 s
[2018-10-18 01:32:20,071][INFO] ------------------------------
[2018-10-18 01:35:05,738][INFO] [28/200] Train loss: 278.977863 
[2018-10-18 01:35:06,967][INFO] [28/200] Validation loss: 295.105631 
[2018-10-18 01:35:06,971][INFO] [28/200] Time: 166.898840 s
[2018-10-18 01:35:06,972][INFO] ------------------------------
[2018-10-18 01:37:33,202][INFO] [29/200] Train loss: 242.416813 
[2018-10-18 01:37:34,455][INFO] [29/200] Validation loss: 258.641015 
[2018-10-18 01:37:34,457][INFO] [29/200] Time: 147.484581 s
[2018-10-18 01:37:34,459][INFO] ------------------------------
[2018-10-18 01:39:59,860][INFO] [30/200] Train loss: 238.181416 
[2018-10-18 01:40:01,030][INFO] [30/200] Validation loss: 254.690827 
[2018-10-18 01:40:01,034][INFO] [30/200] Time: 146.574133 s
[2018-10-18 01:40:01,035][INFO] ------------------------------
[2018-10-18 01:42:40,361][INFO] [31/200] Train loss: 297.547169 
[2018-10-18 01:42:41,716][INFO] [31/200] Validation loss: 313.232302 
[2018-10-18 01:42:41,718][INFO] [31/200] Time: 160.682432 s
[2018-10-18 01:42:41,720][INFO] ------------------------------
[2018-10-18 01:45:27,328][INFO] [32/200] Train loss: 255.786238 
[2018-10-18 01:45:28,552][INFO] [32/200] Validation loss: 269.220020 
[2018-10-18 01:45:28,555][INFO] [32/200] Time: 166.833664 s
[2018-10-18 01:45:28,556][INFO] ------------------------------
[2018-10-18 01:48:01,263][INFO] [33/200] Train loss: 228.131897 
[2018-10-18 01:48:02,495][INFO] [33/200] Validation loss: 241.817855 
[2018-10-18 01:48:02,526][INFO] [33/200] Time: 153.969073 s
[2018-10-18 01:48:02,527][INFO] ------------------------------
[2018-10-18 01:50:29,679][INFO] [34/200] Train loss: 199.935277 
[2018-10-18 01:50:30,796][INFO] [34/200] Validation loss: 212.555704 
[2018-10-18 01:50:30,840][INFO] [34/200] Time: 148.311720 s
[2018-10-18 01:50:30,842][INFO] ------------------------------
[2018-10-18 01:53:02,236][INFO] [35/200] Train loss: 219.225426 
[2018-10-18 01:53:03,526][INFO] [35/200] Validation loss: 233.248798 
[2018-10-18 01:53:03,529][INFO] [35/200] Time: 152.685744 s
[2018-10-18 01:53:03,530][INFO] ------------------------------
[2018-10-18 01:55:45,954][INFO] [36/200] Train loss: 226.588895 
[2018-10-18 01:55:47,172][INFO] [36/200] Validation loss: 241.855947 
[2018-10-18 01:55:47,175][INFO] [36/200] Time: 163.643916 s
[2018-10-18 01:55:47,176][INFO] ------------------------------
[2018-10-18 01:58:30,739][INFO] [37/200] Train loss: 194.269045 
[2018-10-18 01:58:32,026][INFO] [37/200] Validation loss: 209.313028 
[2018-10-18 01:58:32,061][INFO] [37/200] Time: 164.884030 s
[2018-10-18 01:58:32,062][INFO] ------------------------------
[2018-10-18 02:01:18,851][INFO] [38/200] Train loss: 224.713529 
[2018-10-18 02:01:20,185][INFO] [38/200] Validation loss: 236.980951 
[2018-10-18 02:01:20,188][INFO] [38/200] Time: 168.124588 s
[2018-10-18 02:01:20,190][INFO] ------------------------------
[2018-10-18 02:03:47,388][INFO] [39/200] Train loss: 255.407900 
[2018-10-18 02:03:48,757][INFO] [39/200] Validation loss: 266.786678 
